id_venda,produto,categoria,cliente,quantidade,preco_unitario,data_venda
V00109,power bank,eletrônicos,Fernanda Lima,,91.43,2024-03-03 20:29:00
V00110,  CARREGADOR PORTÁTIL  ,Eletrônicos ,  FELIPE NOGUEIRA  ,5,29.26,2024-06-01 19:56:00
V00111,carregador portátil,Eletrônicos,Juliana Alves,5,30.54,2024-02-10 11:11:00
V00112,power bank,  ELETRÔNICOS  ,,6,89.5,2024-01-17 11:58:00
V00113,Lápis Preto,Papelaria ,carlos eduardo,2,1.0,2024-02-10 20:43:00
V00114,carregador portátil,  ELETRÔNICOS  ,Aline Cardoso,5,28.43,2024-03-30 09:56:00
V00115,mouse sem fio,eletrônicos,Diego Ferreira,1,38.62,2024-03-26 20:59:00
V00116,Boné Esportivo ,  VESTUÁRIO  ,  ANA BEATRIZ  ,7,26.6,2024-05-24 21:43:00
V00117,Borracha Escolar ,  PAPELARIA  ,  PATRÍCIA GOMES  ,1,2.63,2024-05-18 15:26:00
V00118,Boné Esportivo,Vestuário ,Aline Cardoso,4.0,26.11,2024-07-14 10:34:00
V00119,Camiseta Básica,Vestuário,  RODRIGO TEIXEIRA  ,1.0,35.62,2024-01-30 18:56:00
V00120,  BORRACHA ESCOLAR  ,Papelaria,  JOÃO PEDRO  ,3.0,1.09,2024-06-03 11:45:00
V00121,  ÓCULOS DE SOL  ,acessórios,Vanessa Ribeiro ,6,61.38,2024-06-27 11:36:00
V00122,Luminária de Mesa ,Utilidades,gustavo melo,1.0,65.24,2024-07-02 18:44:00
V00123,Guarda-Chuva,  UTILIDADES  ,Rafael Costa,8,26.23,2024-02-18 09:06:00
V00124,  GARRAFA TÉRMICA  ,Utilidades,Camila Rocha,4,43.36,2024-03-11 20:49:00
V00125,Garrafa Térmica,Utilidades,  RODRIGO TEIXEIRA  ,3,41.53,2024-06-02 16:47:00
V00126,meia cano alto,Vestuário,fernanda lima,4,13.59,2024-02-27 20:12:00
V00127,  CANETA AZUL  ,Papelaria ,  FELIPE NOGUEIRA  ,7,3.15,2024-01-18 16:41:00
V00128,  RELÓGIO DIGITAL  ,  ACESSÓRIOS  ,Gustavo Melo,3.0,81.6,2024-03-01 21:10:00
V00129,Camiseta Básica,vestuário,Thiago Barbosa,,35.06,2024-07-04 17:36:00
V00130,Garrafa Térmica ,  UTILIDADES  ,Camila Rocha,3,43.99,2024-04-21 18:52:00
V00131,  BORRACHA ESCOLAR  ,Papelaria ,Carlos Eduardo ,7,2.91,2024-01-28 11:12:00
V00132,caderno universitário,  PAPELARIA  ,  CAMILA ROCHA  ,1,19.95,2024-02-14 15:33:00
V00133,  FONE DE OUVIDO  ,eletrônicos,diego ferreira,3,43.3,2024-07-19 12:21:00
V00134,  BONÉ ESPORTIVO  ,vestuário,Rodrigo Teixeira,3,25.8,2024-03-29 17:19:00
V00135,  RELÓGIO DIGITAL  ,acessórios,Bruno Martins ,1,80.34,2024-07-08 09:48:00
V00136,Camiseta Básica,vestuário,Thiago Barbosa,,35.06,2024-07-04 17:36:00
V00137,Power Bank,Eletrônicos ,joão pedro,5.0,91.3,2024-06-02 20:07:00
V00138,  LUMINÁRIA DE MESA  ,Utilidades ,  CAMILA ROCHA  ,1,64.13,2024-03-17 21:37:00
V00139,  CARREGADOR PORTÁTIL  ,Eletrônicos,Juliana Alves,8,29.01,2024-05-30 20:33:00
V00140,power bank,eletrônicos,rafael costa,1,90.54,2024-04-12 13:17:00
V00141,Power Bank,  ELETRÔNICOS  ,,8,91.13,2024-05-20 09:03:00
V00142,Lápis Preto,Papelaria,Gustavo Melo,3,1.94,2024-03-03 10:29:00
V00143,fone de ouvido,eletrônicos,  JOÃO PEDRO  ,1,44.24,2024-04-22 08:37:00
V00144,Carregador Portátil,eletrônicos,diego ferreira,6,29.76,2024-04-23 18:13:00
V00145,Lápis Preto,Papelaria,Gustavo Melo,3,1.94,2024-03-03 10:29:00
V00146,Óculos de Sol,Acessórios,camila rocha,7.0,58.91,2024-01-21 15:01:00
V00147,Guarda-Chuva,Utilidades ,vanessa ribeiro,6,23.74,2024-01-14 12:55:00
V00148,Boné Esportivo,  VESTUÁRIO  ,Aline Cardoso,,27.16,2024-05-03 15:15:00
V00149,  LÁPIS PRETO  ,Papelaria,beatriz pereira,7,1.0,2024-01-24 11:14:00
V00150,  POWER BANK  ,  ELETRÔNICOS  ,  CAMILA ROCHA  ,6,89.18,2024-05-18 09:08:00
V00151,Mouse Sem Fio,  ELETRÔNICOS  ,  BRUNO MARTINS  ,1.0,40.11,2024-01-24 11:53:00
V00152,Guarda-Chuva,Utilidades ,Ana Beatriz ,6.0,24.19,2024-04-09 21:57:00
V00153,Óculos de Sol,acessórios,Rodrigo Teixeira ,1.0,59.72,2024-03-21 12:20:00
V00154,Mouse Sem Fio ,Eletrônicos,diego ferreira,6.0,39.01,2024-02-25 20:21:00
V00155,  GARRAFA TÉRMICA  ,Utilidades,  BRUNO MARTINS  ,7,42.79,2024-07-06 20:35:00
V00156,  RELÓGIO DIGITAL  ,  ACESSÓRIOS  ,beatriz pereira,3,78.58,2024-01-21 17:55:00
V00157,  CARREGADOR PORTÁTIL  ,eletrônicos,Rodrigo Teixeira ,8,28.46,2024-02-16 12:29:00
V00158,Meia Cano Alto,Vestuário,  FELIPE NOGUEIRA  ,8,11.98,2024-03-05 11:07:00
V00159,meia cano alto,Vestuário,joão pedro,8,11.3,2024-04-26 08:46:00
V00160,Caneta Azul,Papelaria,Felipe Nogueira,4,3.23,2024-06-19 09:22:00
V00161,Óculos de Sol,  ACESSÓRIOS  ,bruno martins,3.0,58.67,2024-06-19 14:43:00
V00162,  LUMINÁRIA DE MESA  ,Utilidades,  LARISSA DIAS  ,5,63.82,2024-07-02 13:15:00
V00163,Camiseta Básica,Vestuário,larissa dias,2,34.07,2024-02-10 15:00:00
V00164,Caneta Azul,Papelaria ,Vanessa Ribeiro,2.0,4.39,2024-04-06 09:35:00
V00165,fone de ouvido,eletrônicos,  DIEGO FERREIRA  ,3,43.17,2024-04-03 20:55:00
V00166,  LÁPIS PRETO  ,papelaria,Vanessa Ribeiro,7,3.34,2024-05-27 11:45:00
V00167,  BORRACHA ESCOLAR  ,papelaria,  ANA BEATRIZ  ,5,1.0,2024-02-05 19:06:00
V00168,Guarda-Chuva ,utilidades,Fernanda Lima ,8.0,24.39,2024-03-26 13:42:00
V00169,garrafa térmica,Utilidades,fernanda lima,4,43.7,2024-06-09 17:42:00
V00170,  MEIA CANO ALTO  ,  VESTUÁRIO  ,João Pedro ,5.0,12.93,2024-06-19 14:20:00
V00171,Power Bank ,eletrônicos,,6,88.78,2024-02-18 17:16:00
V00172,borracha escolar,papelaria,  LUCAS GABRIEL  ,6,1.65,2024-05-06 12:42:00
V00173,lápis preto,papelaria,  GUSTAVO MELO  ,2,2.5,2024-03-01 14:07:00
V00174,Garrafa Térmica,Utilidades,Ana Beatriz ,2,41.18,2024-04-13 19:15:00
V00175,  CADERNO UNIVERSITÁRIO  ,papelaria,Patrícia Gomes,6,19.58,2024-04-13 19:10:00
V00176,luminária de mesa,  UTILIDADES  ,Thiago Barbosa,3,65.64,2024-03-13 16:42:00
V00177,Boné Esportivo,  VESTUÁRIO  ,Rafael Costa ,1.0,26.46,2024-05-25 09:05:00
V00178,Mouse Sem Fio,  ELETRÔNICOS  ,  BRUNO MARTINS  ,1.0,40.11,2024-01-24 11:53:00
V00179,  CAMISETA BÁSICA  ,vestuário,Patrícia Gomes,6,33.75,2024-03-24 13:48:00
V00180,Garrafa Térmica,utilidades,Mariana Souza ,7,40.7,2024-05-13 18:17:00
V00181,óculos de sol,Acessórios,Patrícia Gomes ,3,59.88,2024-01-10 10:32:00
V00182,Carregador Portátil,eletrônicos,felipe nogueira,7,28.18,2024-06-19 13:39:00
V00183,Camiseta Básica ,Vestuário,aline cardoso,7,36.76,2024-05-18 20:46:00
V00184,borracha escolar,Papelaria ,diego ferreira,4,1.0,2024-06-27 16:29:00
